#,hospital_id,name,address,contact_url,contact_number,apogee,apogee_elite
198,1776089862301,라렌의원,"서울특별시 마포구 월드컵북로 396, B1005,1006,1007호 (상암동, 누리꿈스퀘어)",http://sangam.lareinegroup.co.kr/,02-305-8233,X,X
199,1776089862302,라르떼의원,"서울특별시 강북구 도봉로 320, 3층 (번동, 제이제이타워)",http://larte.kr/,02-907-3700,X,X
200,1776089862308,라마르의원,"서울특별시 동작구 동작대로 109, 5층 (사당동, 경문빌딩)",http://www.isu-lamarskin.com,02-537-8575,X,X
201,1776089862313,라미에르의원,"서울특별시 종로구 종로 19, 르메이에르종로타운1 204,205호 (종로1가)",http://www.lamiereskin.co.kr/,02-733-5775,X,X
202,1776089862314,라미체성형외과의원,"서울특별시 송파구 백제고분로7길 14, 2,4층 (잠실동, 태원빌딩)",https://lamiche-ps.com/,02-425-7070,X,X
203,1776089862315,라민의원,"서울특별시 중구 무교로 19, 더익스체인지서울몰 5층 (무교동)",https://www.lamine.co.kr/language,02-772-9770,X,X
204,1776089862325,라엘르의원,"서울특별시 용산구 한강대로 286-2, 2층 (남영동)",http://www.la-aille.com/,02-749-0126,X,X
205,1776089862326,라온피부과의원,"서울특별시 성동구 고산자로 234, 5층 5-1호 (행당동)",https://raonderma.com/,02-2299-7975,X,X
206,1776089862335,라인업의원,"서울특별시 동작구 동작대로 119, 4층 (사당동, 금성빌딩)",www.lineupclinic.co.kr/,3477-7412,X,X
208,1776089862343,라클라라의원,"서울특별시 도봉구 도봉로150다길 22, 4,5,6층 (방학동)",https://www.laclara.co.kr/,02-3493-8575,X,X
209,1776089862348,라플레르의원,"서울특별시 동대문구 왕산로32길 7, 5층 (용두동, BYC청량리오피스텔)",http://www.lafleurclinic.com/,02-960-1401,X,X
211,1776089862352,래인의원,"서울특별시 종로구 삼봉로 94, 94빌딩 205,206호 (공평동)",http://www.leinclinic.com,02-6272-4194,X,X
213,1776089862373,로바에의원,"서울특별시 마포구 양화로 165, 7층 (동교동)",https://lovaeclinic.com/?utm_source=naver&utm_medium=place,02-6951-5525,X,X
214,1776089862381,로젤의원,"서울특별시 노원구 동일로 1419, 디와이홀딩스(주)빌딩 301호 (상계동)",https://www.rozel.co.kr/,02-6956-5750,X,X
216,1776089862388,루미의원,"서울특별시 송파구 백제고분로 204, (삼전동, 5층)",https://www.lumiclinic.co.kr/,02-419-1900,X,X
217,1776089862391,루비의원,"서울특별시 중구 명동길 65, 보림빌딩 5층 (명동1가)",https://www.rubyclinic.co.kr/,774-8575,X,X
218,1776089862393,루비의원,"서울특별시 마포구 큰우물로 64, 4층 (용강동)",https://www.rubyclinic-mapo.com/,02-707-0772,X,X
220,1776089862404,룩엣미의원,"서울특별시 송파구 송파대로 155, NH송파농협 3층 (문정동)",https://www.lookatmemj.com/,02-443-1170,X,X
222,1776089862411,르미엘성형외과의원,"서울특별시 종로구 종로 120, 동영타워 3층 일부호 (종로3가)",http://lemielps.com/,02-1800-8204,X,X
223,1776089862412,르비브의원,"서울특별시 동작구 동작대로 83, 헤라피스빌딩 2층 (사당동)",https://reviv.kr/,02-585-7588,X,X
225,1776089862418,리나인의원,"서울특별시 중구 소공로 116, 서울센타빌딩 2층 (소공동)",https://www.renine.kr/,02-318-7379,X,X
226,1776089862421,리뉴미피부과의원,"서울특별시 중구 을지로 251, 을지회관 2층 203호 (을지로6가)",http://www.rnmeskin.com,02-2275-5085,X,X
227,1776089862424,리뉴미피부과의원,"서울특별시 송파구 올림픽로 114, 서경빌딩 9층 (잠실동)",https://www.rnmeskin.com/medical/medical_0605.htm?numb=1,02-413-2303,X,X
228,1776089862427,리뉴피부과의원,"서울특별시 동작구 상도로 246, 더라함 3층 (상도동)",http://renewskin.co.kr/,02-813-8111,X,X
230,1776089862430,리더스피부과의원,"서울특별시 양천구 목동동로 257, B1층 (목동, 현대하이페리온)",http://www.beautyleader.co.kr,02-2163-3973,X,X
232,1776089862438,리멤버피부과의원,"서울특별시 노원구 동일로 1380, 상계동 국민은행 5층 (상계동)",https://rememberno1.com,02-936-8253,X,X
233,1776089862439,리멤버피부과의원,"서울특별시 송파구 올림픽로37길 130, 파크리오 A동 5층 508,509호 (신천동)",https://rememberjs.com/,02-420-8877,X,X
234,1776089862441,리멤버피부과의원,"서울특별시 중구 다산로 128-1, 5층 (신당동)","http://rememberys.com
",02-2234-7575,X,X
235,1776089862444,리버스의원,"서울특별시 마포구 양화로 165, 상진빌딩 13층 (동교동)",http://www.reverseclinic.com/,02-1544-0890,X,X
236,1776089862445,리버스의원,"서울특별시 노원구 상계로 70, 화랑빌딩 6층 (상계동)",http://nw.reverseclinic.com,070-4323-5541,X,X
237,1776089862446,리버스의원,"서울특별시 중구 명동길 26, 유네스코회관 8층 (명동2가)",http://md.reverseclinic.com,1544-0890,X,X
238,1776089862449,리베리의원,"서울특별시 마포구 월드컵로 200, SJ라벨라상암 11층 (성산동)",https://mp.reberryclinic.com/bfaf.do,02-2039-3777,X,X
239,1776089862451,리본의원,"서울특별시 동작구 상도로 93, 3층 (상도동)",http://reborncorea.com/,02-6964-8575,X,X
240,1776089862468,리엔장의원,"서울특별시 중구 명동길 14, Noon Square 5층 (명동2가)","https://intro.lienjang.net/re/Tzwcvu
",02-3789-3625,X,X
241,1776089862469,리엔장의원,"서울특별시 마포구 양화로18길 3, 삼양세븐스프링스 4층,6층 (동교동)",https://intro.lienjang.net/re/Vzqfek,02-333-3625,X,X
242,1776089862470,리엔장의원,"서울특별시 양천구 오목로 325, 대학빌딩 2층 203, 204호 (목동)",https://intro.lienjang.net/re/Tjwjyk,2651-3625,X,X
243,1776089862471,리엘르의원,"서울특별시 마포구 양화로 162, 좋은사람들 빌딩 1301호 (동교동)",http://www.re-ele.com,02-2088-2087,O,X
244,1776089862472,리엘르의원,"서울특별시 중구 명동길 14, Noon Square 5층 (명동2가)",https://md.re-ele.com/,02-3789-2086,O,X
245,1776089862476,리영의원,"서울특별시 송파구 위례성대로 6, (방이동, 현대토픽스 3층 301호)",http://www.reyoung.co.kr,02-421-5550,X,X
246,1776089862484,리윤피부과의원,"서울특별시 송파구 양재대로 1164, 홍일빌딩 502호,503호 (오금동)",http://www.leeyoonskin.com/,02-443-8575,X,X
247,1776089862486,리의원,"서울특별시 용산구 한남대로20길 21-18, 4층 (한남동)",http://www.reclinic.co.kr/,02-526-9494,X,X
248,1776089862492,리즈온의원홍대점,"서울특별시 마포구 홍익로 25, 5층 (서교동)",http://hongdae.lizonclinics.co.kr,02-335-3522,X,X
250,1776089862494,리진의원,"서울특별시 중구 남대문로 55, 프리즈마111 3층 (남대문로2가)",https://www.lijinclinic.com/,02-2039-3585,X,X
251,1776089862501,리퓨어피부과의원,"서울특별시 중랑구 면목로 319, 삼성종합프라자 2층 우측호 (면목동)",http://www.repure.kr/2013/,02-466-9033,X,X
255,1776089862518,마리앤라인의원,"서울특별시 종로구 대학로 130, 5층 (동숭동)",http://www.doctormarie.co.kr,02-718-8000,X,X
256,1776089862521,마이닥터의원,"서울특별시 동작구 사당로14길 13, 골든빌딩 2층 (사당동)",http://www.mydrclinic.co.kr/,02-522-1020,X,X
257,1776089862524,마이디피부과의원,"서울특별시 은평구 연서로 146, (대조동, 3층)",http://www.mydskin.co.kr/,02-355-5533,X,X
258,1776089862525,마이디피부과의원이촌점,"서울특별시 용산구 이촌로 224, 302호 (이촌동, 리버뷰맨션)",http://www.myd-i.com/,02-790-7277,X,X
260,1776089862533,마인드피부과의원,"서울특별시 마포구 양화로18길 3, 3층 (동교동, 삼양세븐스프링스)",https://mindskin.co.kr/,02-333-3133,X,X
261,1776089862536,마포공덕에스앤유피부과의원,"서울특별시 마포구 백범로 178, 마포신영지웰 2층 B204(일부),205,206,207호 (공덕동)",https://www.allskin.co.kr/,02-706-5250,X,X
264,1776089862541,맑고고운의원,"서울특별시 양천구 목동서로 35, 목동프라자 5층 502호 (목동)",http://purebeautyclinic.co.kr/,02-6952-6966,X,X
265,1776089862542,맑은문피부과의원,"서울특별시 중구 퇴계로 447, 3층 314,315,316호 (황학동, 황학아크로타워)",http://www.clearmoon.co.kr/,02-436-7575,X,X
266,1776089862546,맑은성모피부과의원,"서울특별시 중구 동호로 189, (신당동, 톰캣프라자)",http://www.clearmary.com/,02-2231-5382,X,X
267,1776089862547,맑은성심피부과의원,"서울특별시 중랑구 용마산로 503, 3층 (망우동)",http://www.pureheart.kr/,02-437-6152,X,X
269,1776089862551,맑은연세의원,"서울특별시 송파구 송파대로 422, (송파동, 안흥빌딩 2층 2호`)",http://www.pureysclinic.co.kr/,02-413-8251,X,X
273,1776089862563,맥스웰피부과의원,"서울특별시 종로구 종로 33, 그랑서울 601호 일부호 (청진동)",https://jongno.maxwellhair.com/,02-6930-5824,X,X
275,1776089862582,메이린의원,"서울특별시 송파구 올림픽로 240, 롯데호텔월드 지하1층 일부호 (잠실동)",https://maylin.co.kr/jamsillottehotel/,02-2143-1016,X,X
276,1776089862583,메이린의원,"서울특별시 성동구 아차산로 74, SHENB 타워 3층 (성수동2가)",https://maylin.co.kr/seongsu/,02-6457-0101,X,X
277,1776089862585,메이비의원,"서울특별시 양천구 목동동로 233-1, 드림타워 201,202호 (목동)",http://www.maybeclinic.co.kr/,02-2655-2540,X,X
279,1776089862594,메이퓨어의원,"서울특별시 양천구 목동동로 293, 현대41타워 지하1층 B-01-2호 (목동)",https://www.maypureclinic.com/mokdong,02-2649-9960,X,X
280,1776089862595,메이퓨어의원,"서울특별시 성동구 왕십리로 326, 세신빌딩 14층 (도선동)",https://www.maypureclinic.com/wangsimni,02-2296-5628,X,X
282,1776089862597,메이퓨어의원,"서울특별시 마포구 월드컵북로2길 57, 5층 501호 (동교동)",https://www.maypureclinic.com/hongdae-entrance,02-3141-9979,X,X
283,1776089862599,메이퓨어의원,"서울특별시 노원구 중계로 201, 오성프라자 4층 (중계동)",https://www.maypureclinic.com/junggye-eunhaeng-sageori,0000-0000,X,X
284,1776089862600,메이퓨어의원,"서울특별시 중구 세종대로11길 42, 부림빌딩 501,502호 (서소문동)",https://www.maypureclinic.com/city-hall-station,02-774-7774,X,X
285,1776089862606,멘드의원,"서울특별시 용산구 독서당로 70, 현대리버티하우스 305호 (한남동)",http://mendclinic.kr/,02-595-5110,X,X
286,1776089862608,멜로우피부과의원,"서울특별시 도봉구 마들로13길 61, B103-2호, 301-3호 (창동)",https://www.doctormellow.com/,02-6077-8811,X,X
288,1776089862613,명동2호점밴스의원,"서울특별시 중구 퇴계로 109, 4,5,7층 (충무로1가)",https://myeongdong2.vandsclinic.co.kr/,02-6956-5113,O,O
289,1776089862614,명동고운세상피부과의원,"서울특별시 중구 퇴계로 131, 3층 308~311호 (충무로2가, 신일빌딩)",http://www.beautyforever.co.kr,02-755-5411,X,X
290,1776089862615,명동닥터에버스의원,"서울특별시 중구 퇴계로 131, 신일빌딩 5,6층 (충무로2가)",https://evers.co.kr/,02-318-2010,X,X
291,1776089862616,명동리더스피부과의원,"서울특별시 중구 퇴계로 72, 지하1층 116호 (회현동1가, 리더스뷰남산)",http://www.beautyleader.co.kr,02-6677-1945,X,X
292,1776089862617,명동리베리의원,"서울특별시 중구 명동10길 58, 신일빌딩별관 201,301호 (충무로2가)",https://reberryclinic.com/,02-2088-7070,X,X
294,1776089862619,명동벤자민피부과의원,"서울특별시 중구 남대문로 90, 세미콜론명동 15층 (남대문로2가)",https://benjaminclinicmd.com,02-6272-7007,X,X
295,1776089862620,명동뷰티온의원,"서울특별시 중구 남대문로 90, 세미콜론명동 16층 (남대문로2가)",https://myeongdong.beautyon.co.kr/,02-6956-7255,X,X
296,1776089862621,명동비엘에스의원,"서울특별시 중구 명동8가길 11, 이화빌딩(명동) 5~6층 (충무로2가)",https://www.blsclinic7.com/,02-310-9968,X,X
297,1776089862622,명동아이디의원,"서울특별시 중구 남대문로 90, 세미콜론명동 18,19층 (남대문로2가)",https://md.idclinic.co.kr/,02-2088-8678,X,X
298,1776089862623,명동점라라의원,"서울특별시 중구 남대문로 68, 5층 (명동2가)",http://myeongdonglala.co.kr/,02-318-7944,X,X
299,1776089862624,명동플랜에스의원,"서울특별시 중구 명동8나길 7, 3~5층 (충무로1가)",https://md.plansclinic.com,1877-3608,X,X
303,1776089862664,목동고운세상피부과의원,"서울특별시 양천구 오목로 281, 1층 (목동)",http://www.beautyforever.co.kr,02-2607-4378,X,X
308,1776089862669,목동미소가인피부과의원,"서울특별시 양천구 오목로 345, 목동 슬로우스퀘어 5층 (목동)",http://www.misogain.co.kr/intro/mokdong/index.jsp,02-2643-9900,X,X
311,1776089862673,목동톡스앤필의원,"서울특별시 양천구 신정중앙로 103, 4층 (신정동)",https://www.toxnfill41.com/,02-2692-1131,X,X
312,1776089862681,뮤즈의원,"서울특별시 마포구 서강로 136, 아이비타워 7층 (노고산동)",http://sinchon.museclinic.co.kr/,02-2138-0991,X,X
313,1776089862682,뮤즈의원,"서울특별시 중구 퇴계로 97, 고려대연각타워 3층 301호,302호 (충무로1가)",https://myeongdong.museclinic.co.kr/,02-754-5599,X,X
314,1776089862683,뮤토엘성형외과의원,"서울특별시 용산구 한강대로23길 25, 로카우스 호텔 지1층 3호 (한강로3가)",https://www.mutoelps.com/,02-2138-2805,X,X
317,1776089862689,미라벨의원,"서울특별시 중구 동호로 163, 3층 301호 (신당동)",https://www.mirabelclinic.co.kr/,02-2038-0070,X,X
323,1776089862699,미러의원,"서울특별시 송파구 송파대로 111, 205동 411,412호 (문정동, 파크하비오 하비오타워)",http://www.mirrorclinic.com/,02-400-8077,X,X
325,1776089862709,미셀의원,"서울특별시 양천구 등촌로 6, 2층 (목동, 상지빌딩)",http://mecell.net/#,02-2642-1130,X,X
326,1776089862710,미소가인피부과의원,"서울특별시 마포구 마포대로 68, 602호 (도화동, 마포아크로타워)",http://www.misogain.co.kr/mp/index.do,02-704-9077,X,X
327,1776089862713,미소가인피부과의원,"서울특별시 은평구 통일로 1080, 은평뉴타운솔하임 A동 2층 202,203-1호 (진관동)",http://www.misogain.co.kr/ep/index.do,02-387-7579,X,X
328,1776089862716,미소앤유의원,"서울특별시 동작구 사당로 230-1, 4층 (사당동, 미래빌딩)",http://www.minuclinic.com,02-523-3575,X,X
329,1776089862718,미소지앤의원,"서울특별시 은평구 통일로67길 3, 6층 (대조동)",https://www.misozn.co.kr/,02-376-7572,X,X
332,1776089862722,미아사거리톡스앤필의원,"서울특별시 강북구 도봉로 34, 2층 (미아동, 트레지오빌딩)",https://www.toxnfill39.com/,02-983-7585,X,X
334,1776089862725,미앤미의원,"서울특별시 강북구 도봉로 324, 6층 (번동, 글로리타워)",http://www.y365.co.kr,02-999-1101,X,X
335,1776089862727,미앤미의원,"서울특별시 노원구 동일로 1401, 6층 (상계동, 상아빌딩)",https://www.mipretty.co.kr/,02-934-1111,X,X
336,1776089862729,미앤아이의원,"서울특별시 마포구 망원로8길 39, 2층 (망원동)",http://md-meiclinic.co.kr,02-2061-6588,X,X
337,1776089862731,미앤지의원,"서울특별시 중랑구 면목로39길 8, 한성빌딩 7층 (면목동)",http://www.esupia.com/,02-433-0107,X,X
338,1776089862739,미인동안의원,"서울특별시 양천구 공항대로 532, 3층 (목동)",http://www.miindongan.co.kr/,02-2651-3407,X,X
341,1776089862749,민앤정의원,"서울특별시 종로구 종로5길 7, Tower 8 203호 (청진동)",http://minandjeong.com/,02-333-3901,X,X
343,1776089862753,밀락씨의원,"서울특별시 성동구 한림말길 56, 강변벽산빌라트 2층 203호, 204호 (옥수동)",http://milaccclinic.com,02-2294-1233,X,X
344,1776089862755,밀리의원,"서울특별시 마포구 신촌로 104, 2(일부)층 (노고산동)",https://sinchon.miliclinic.com,02-6337-1212,X,X
345,1776089862764,바로바디의원,"서울특별시 송파구 송파대로 98, 선도빌딩 5층,6층 일부호 (문정동)",http://barobadi.com/,02-431-5714,X,X
347,1776089862773,바이린의원,"서울특별시 중랑구 용마산로 670, C동 231~233호 (망우동, 신내역 프라디움 더 테라스)",https://bylynnclinic.co.kr/,02-2135-6506,X,X
348,1776089862779,박가정의원,"서울특별시 노원구 상계로27길 15, (상계동, 석경빌딩)",http://www.drparks.co.kr,02-936-4644,X,X
352,1776089862794,밝은얼굴의원,"서울특별시 동작구 사당로 224, 2층 (사당동)",http://thebrightface.com/,02-598-8959,X,X
358,1776089862803,백피부과의원,"서울특별시 마포구 연희로 5, 2층 (동교동)",https://skindr.co.kr/,02-334-1484,X,X
360,1776089862807,밴스의원,"서울특별시 마포구 마포대로 68, 3,5층 306,307,506A,507A,507B호 (도화동, 마포아크로타워)",https://mapo.vandsclinic.co.kr/,02-707-0595,X,X
361,1776089862809,밴스의원,"서울특별시 중구 남대문로 90, 세미콜론명동 11,12층 (남대문로2가)",https://myeongdong.vandsclinic.co.kr/,02-6956-5516,X,X
362,1776089862812,밴스의원,"서울특별시 성동구 아차산로 107, 1층 (성수동2가)",https://seongsu.vandsclinic.co.kr/,02-6956-0046,X,X
363,1776089862814,밴스의원,"서울특별시 용산구 새창로 217, 용산토투밸리 15층 1501호 (한강로2가)",https://yongsan.vandsclinic.co.kr,02-6956-0059,X,X
364,1776089862817,밴스의원,"서울특별시 송파구 송파대로 562, 4층 (신천동, 웰리스타워,삼성웰리스아파트)",https://vandsclinic.co.kr/,02-6956-0474,X,X
365,1776089862818,밴스피부과의원,"서울특별시 마포구 양화로 148, 탑라인타워 5,6층 (동교동)",https://hongdae.vandsclinic.co.kr/,02-6956-0650,X,X
366,1776089862823,베러미의원,"서울특별시 송파구 올림픽로 108, 맥스빌딩 5층 (잠실동)",https://jamsil.bettermeclinic.co.kr/,,X,X
367,1776089862824,베르니포레의원,"서울특별시 성동구 서울숲2길 32-14, B107호 (성수동1가, 갤러리아포레)",http://www.verniclinic.co.kr,02-355-0117,X,X
371,1776089862847,벨아미-리노보의원,"서울특별시 마포구 양화로 176, 동교동 스타피카소 5층 5FB74호,5FB75호호 (동교동)",http://www.renovoh.co.kr,02-3141-4282,X,X
374,1776089862863,본피부과의원,"서울특별시 양천구 목동동로 293, 현대41타워 5층 501,502호 (목동)",http://bonskinclinic.com/,02-2062-8700,X,X
375,1776089862864,봄날애의원,"서울특별시 동대문구 장한로25길 2, 7층 (장안동)",https://bomnale.co.kr/,02-2216-8275,X,X
376,1776089862865,봄눈피우다의원,"서울특별시 마포구 양화로 192, 3층 (동교동)",https://springeye.co.kr/,02-6925-1215,X,X
377,1776089862867,봄봄피부과의원,"서울특별시 송파구 송파대로 345, 1A동 5층 5012호 (가락동, 헬리오시티)",http://bombomderma.com/,02-544-0097,X,X
380,1776089862877,뷰다임의원,"서울특별시 양천구 목동서로 159-1, 3층 (목동, 기독교방송국건물)",http://www.beaudigm.com,02-2643-1333,X,X
381,1776089862884,뷰티라운지의원,"서울특별시 송파구 올림픽로 289, 잠실시그마타워 12층 1201호 (신천동)",http://jamsil.beautyloungeclinic.co.kr/,02-2135-1995,X,X
382,1776089862885,뷰티라운지의원,"서울특별시 양천구 목동동로 293, 현대41타워 404호 (목동)",http://mokdong.beautyloungeclinic.co.kr/,02-569-8808,X,X
383,1776089862886,뷰티라운지의원,"서울특별시 용산구 한강대로 109, 용성비즈텔 지하1층 (한강로2가)",http://yongsan.beautyloungeclinic.com/,02-2135-7884,X,X
385,1776089862888,뷰티라운지의원,"서울특별시 중구 퇴계로 109, 8층 801호 (충무로1가)",http://myeongdong.beautyloungeclinic.com/,02-6952-7971,O,X
387,1776089862893,뷰티스톤의원,"서울특별시 마포구 양화로 45, 몰동 1층 133호~135호, 2층 215호~220호 (서교동, 메세나폴리스)",https://beautystone1.com/,02-3144-0107,X,X
388,1776089862898,뷰티유의원,"서울특별시 마포구 양화로 165, 상진빌딩 12층 (동교동)",http://beautyuclinic.co.kr/,02-332-5507,X,X
391,1776089862919,블루미의원,"서울특별시 중구 명동3길 44, 5층 (을지로2가)",https://bloomingclinic.co.kr/,02-777-0818,X,X
392,1776089862920,블리비의원,"서울특별시 양천구 오목로 340, 협성빌딩 A동 6층 (목동)",https://www.velyb.kr/,1833-8497,X,X
393,1776089862921,블리비의원,"서울특별시 동대문구 왕산로 190, 청량리렉스프라임 2층 (전농동)",https://www.velyb.kr/,1833-2789,X,X
394,1776089862926,블리비의원,"서울특별시 마포구 양화로 161, 케이스퀘어 4층 (동교동)",http://www.velyb.kr/,1833-2141,X,X
395,1776089862927,블리비의원,"서울특별시 중구 남대문로 84, 6층 (남대문로2가)",https://www.velyb.kr/,1833-9941,X,X
396,1776089862928,블리비의원,"서울특별시 노원구 동일로 1413, 남성빌딩 2층 (상계동)",https://www.velyb.kr/,1833-7729,X,X
397,1776089862929,블리비의원,"서울특별시 송파구 올림픽로 289, 잠실시그마타워 4층 (신천동)",https://www.velyb.kr/,1833-2787,X,X
398,1776089862930,블리비의원,"서울특별시 용산구 새창로 217, 용산토투밸리 2층 227~241, 252~280호 (한강로2가)",https://www.velyb.kr/,02-1833-8677,X,X
400,1776089862936,비본영의원,"서울특별시 성동구 왕십리로 125, KD타워 1층 103호 (성수동1가)",https://www.bebornyoung.com/,02-6956-8644,X,X
402,1776089862942,비스포크의원,"서울특별시 마포구 마포대로 109, 3층 301호 (공덕동, 롯데캐슬프레지던트)",https://bespokeclinic.co.kr/,02-6925-1777,X,X
